code,reason,date_added
# Plaats hier Top Systems codes die NIET in Odoo geïmporteerd mogen worden.
# Eén code per regel. reason en date_added zijn optioneel.
# Voorbeeld:
# ASS030064900,niet nodig - kabel,2026-05-12
ASS030066030
ASS030066100
ASS030066300
BAM001003984
BAM001003985
BAM010700100
BAM030710100
BAT111150000
BAT111150001
BAT111150100
BAT111150103
BAT212070084
BAT212120086
BAT212200084
BAT300006200-C
BAT300006250-C
BAT300012150-C
BAT406225193-C
BAT406225500
BAT406225560
BAT406410000
BAT406410003
BAT406410004
BAT406410013
BAT406410025
BAT406410026
BAT406410027
BAT406410028
BAT406410029
BAT406410030
BAT406410031
BAT406410032
BAT406410033
BAT406410034
BAT406410036
BAT406410037
BAT406410101
BAT406450000
BAT412015080
BAT412060081
BAT412151164
BAT412181170
BAT412181171
BAT412350084
BAT412550084
BAT412550104
BAT412600104
BAT412800084
BAT412800085
BAT412800104
CTR110000550
CTR110002050
CTR120000500
CTR120000550
CTR120002050
CTR140050100
INTD01000103
INTD01000104
INTD01000120
INTD01000130
ORI800600010
ORI800600011
ORI800600013
ORI800600015
ORI800600020
ORI800600030
ORI800601000
ORI800601000-C
ORI800601005-R
PIN121800500
PIN122120510
PIN122122500
PIN122510500
PIN123750500
PIN125010500
PIN241370500
PIN241500500
PIN242120510
PIN242122500
PIN242510500
PIN243020100
PIN243750500
PIN245010500
PIN481800500
PIN481801200
PIN482120200
PIN482120510
PIN482121100
PIN482121200
PIN482122500
PIN482122520
PIN482160000
PIN482161000
PIN482201000
PIN482300000
PIN482500000
PIN482510500
PIN482600000
PIN482601000
PIN483020000
PIN483750500
PIN485010100
PIN485010500
PIN485020000
PMP122200102
PMP122301102
PMP242200100
PMP242200102
PMP242305100
PMP481500000
PMP481800000
PMP482120000
PMP482160000
PMP482200000
PMP482200100
PMP482305012
PMP482305100
PMP482305102
PMP482405012
PMP482406000
PMP482505010
PMP482505012
PMP482505300
PMP482605012
PMP482606000
PMP482805000
PMP483020001
PMP483021010
PMP483105000
PMP483150000
PMP485021010
QUA122305130
QUA125021100
QUA125021102
QUA242305130
QUA245023110
QUA481030010
QUA482501102
QUA482504010
QUA483021100
QUA483100100
QUA483100102
QUA483100300
QUA483150000
QUA483150100
QUA485021010
QUA485021100
QUA488024000
REL200100000
REL200100100
REL200200100
REL200200330
REL200201330
REL200202330
REL200203330
REL200204330
REL200205330
REL200211330
REL200221100
REL200221150
REL200221200
REL200221250
REL200221300
REL300300000
REL400003000
SHP301501050
SHP30231241B
SHP302501403
SHP302501407
SHP302501409
SHP302501450-C
SPP040201200
SPP040301200
SPP040451200
SPP040601200
SPP040901200
SPP041151202
SPP041301200
SPP041751200
SPP042702000
SPP042702002
SPP042802000
SPP043302402
SPM040303603

